title,company,price,year,km_driven,fuel_type,transmission,city,link
Maruti Suzuki Xl6 (2025),Maruti Suzuki,1645000.0,2025,25000.0,Petrol,Automatic,"Kodambakkam, Chennai",https://www.olx.in/item/cars-c84-used-maruti-suzuki-xl6-in-kodambakkam-chennai-iid-1841547198
Mahindra Thar (2021),Mahindra,1220000.0,2021,82000.0,Petrol,Automatic,"Industrial Area, Chandigarh",https://www.olx.in/item/cars-c84-used-mahindra-thar-in-industrial-area-chandigarh-iid-1845793834
Volkswagen Tiguan (2024),Volkswagen,2590000.0,2024,24091.0,Petrol,Automatic,"Banashankari, Bengaluru",https://www.olx.in/item/cars-c84-used-volkswagen-tiguan-in-banashankari-bengaluru-iid-1846794885
Renault Kwid (2019),Renault,245000.0,2019,26000.0,Petrol,Automatic,"Inderlok, Delhi",https://www.olx.in/item/cars-c84-used-renault-kwid-in-inderlok-delhi-iid-1838655634
Hyundai Elite I20 (2018),Hyundai,395000.0,2018,67000.0,Petrol,Manual,"New Town, Kolkata",https://www.olx.in/item/cars-c84-used-hyundai-elite-i20-in-new-town-kolkata-iid-1845064546
Kia Seltos (2020),Kia,849000.0,2020,48000.0,Petrol,Manual,"Nungambakkam, Chennai",https://www.olx.in/item/cars-c84-used-kia-seltos-in-nungambakkam-chennai-iid-1807580090
Honda City (2017),Honda,500000.0,2017,44000.0,Petrol,Automatic,"Inderlok, Delhi",https://www.olx.in/item/cars-c84-used-honda-city-in-inderlok-delhi-iid-1838655121
Maruti Suzuki Ertiga (2016),Maruti Suzuki,795000.0,2016,295000.0,Petrol,Manual,"Ramesh Nagar, Delhi",https://www.olx.in/item/cars-c84-used-maruti-suzuki-ertiga-in-ramesh-nagar-delhi-iid-1838655359
Honda Wr-V (2019),Honda,700300.0,2019,28000.0,Petrol,Manual,"Basavanagudi, Bengaluru",https://www.olx.in/item/cars-c84-used-honda-wrv-in-basavanagudi-bengaluru-iid-1846190953
Maruti Suzuki Xl6 (2025),Maruti Suzuki,1645000.0,2025,25000.0,Petrol,Automatic,"Kodambakkam, Chennai",https://www.olx.in/item/cars-c84-used-maruti-suzuki-xl6-in-kodambakkam-chennai-iid-1841547198
Hyundai Santa Fe (2014),Hyundai,850000.0,2014,170000.0,Diesel,Automatic,"Ghatkopar East, Mumbai",https://www.olx.in/item/cars-c84-used-hyundai-santa-fe-in-ghatkopar-east-mumbai-iid-1846764916
Mercedes-Benz E-Class (2018),Mercedes,2900000.0,2018,30000.0,Diesel,Automatic,"Bypass Road, Thiruvananthapuram",https://www.olx.in/item/cars-c84-used-mercedes-benz-e-class-in-bypass-road-thiruvananthapuram-iid-1841733323
Maruti Suzuki Grand Vitara (2024),Maruti Suzuki,1835000.0,2024,60000.0,CNG,Automatic,"Pookkayil, Tirur",https://www.olx.in/item/cars-c84-used-maruti-suzuki-grand-vitara-in-pookkayil-tirur-iid-1845892292
Audi A3 Cabriolet (2020),Audi,5000000.0,2020,42174.0,Petrol,Automatic,"Panipat Taraf Afghan, Panipat",https://www.olx.in/item/cars-c84-used-audi-a3-cabriolet-in-panipat-taraf-afghan-panipat-iid-1842863713
Maruti Suzuki Swift Dzire (2021),Maruti Suzuki,580000.0,2021,68579.0,Petrol,Manual,"LB Nagar, Hyderabad",https://www.olx.in/item/cars-c84-used-maruti-suzuki-swift-dzire-in-lb-nagar-hyderabad-iid-1845595246
Maruti Suzuki Eeco (2017),Maruti Suzuki,415000.0,2017,148619.0,Petrol,Manual,"Karmanghat, Hyderabad",https://www.olx.in/item/cars-c84-used-maruti-suzuki-eeco-in-karmanghat-hyderabad-iid-1846892688
Mg Gloster (2023),MG,29.0,2023,40000.0,Diesel,Automatic,"Preet Vihar, Delhi",https://www.olx.in/item/cars-c84-used-mg-gloster-in-preet-vihar-delhi-iid-1844032230
